#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01871  0.00003  0.00091  0.07519  0.000000  0.000000  0.000000     1.000
   1.02053  0.00003 -0.00091 -0.07494  0.000000  0.000000  0.000000     1.000
   1.02241  0.00025 -0.00277 -0.22780  0.000000  0.000000  0.000000     1.000
   1.02436  0.00070 -0.00467 -0.37435  0.000000  0.000000  0.000000     1.000
   1.02641  0.00141 -0.00659 -0.51079  0.000000  0.000000  0.000000     1.000
   1.02855  0.00238 -0.00851 -0.62989  0.000000  0.000000  0.000000     1.000
   1.03081  0.00360 -0.01041 -0.73163  0.000000  0.000000  0.000000     1.000
   1.03322  0.00508 -0.01231 -0.81626  0.000000  0.000000  0.000000     1.000
   1.03578  0.00682 -0.01419 -0.88592  0.000000  0.000000  0.000000     1.000
   1.03853  0.00883 -0.01606 -0.94256  0.000000  0.000000  0.000000     1.000
   1.04150  0.01114 -0.01793 -0.98881  0.000000  0.000000  0.000000     1.000
   1.04473  0.01376 -0.01982 -1.02754  0.000000  0.000000  0.000000     1.000
   1.04827  0.01674 -0.02173 -1.05835  0.000000  0.000000  0.000000     1.000
   1.05217  0.02013 -0.02367 -1.08468  0.000000  0.000000  0.000000     1.000
   1.05651  0.02399 -0.02566 -1.10611  0.000000  0.000000  0.000000     1.000
   1.06138  0.02840 -0.02771 -1.12430  0.000000  0.000000  0.000000     1.000
   1.06687  0.03346 -0.02983 -1.13953  0.000000  0.000000  0.000000     1.000
   1.07310  0.03929 -0.03203 -1.15186  0.000000  0.000000  0.000000     1.000
   1.08022  0.04603 -0.03431 -1.16235  0.000000  0.000000  0.000000     1.000
   1.08834  0.05380 -0.03667 -1.17070  0.000000  0.000000  0.000000     1.000
   1.09756  0.06271 -0.03908 -1.17721  0.000000  0.000000  0.000000     1.000
   1.10792  0.07278 -0.04150 -1.18234  0.000000  0.000000  0.000000     1.000
   1.11939  0.08399 -0.04389 -1.18561  0.000000  0.000000  0.000000     1.000
   1.13182  0.09622 -0.04618 -1.18776  0.000000  0.000000  0.000000     1.000
   1.14507  0.10929 -0.04832 -1.18871  0.000000  0.000000  0.000000     1.000
