#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01683  0.00025  0.00277  0.22331  0.000281  0.000126  0.018691     2.232
   1.01871  0.00003  0.00091  0.07417  0.000277  0.000124  0.006300     2.230
   1.02053  0.00003 -0.00091 -0.07292  0.000277  0.000124  0.006194     2.230
   1.02241  0.00025 -0.00277 -0.22530  0.000276  0.000124  0.019207     2.229
   1.02436  0.00070 -0.00467 -0.36903  0.000295  0.000131  0.028909     2.250
   1.02641  0.00141 -0.00659 -0.50256  0.000307  0.000137  0.038167     2.239
   1.02855  0.00238 -0.00851 -0.62147  0.000333  0.000147  0.042337     2.269
   1.03081  0.00360 -0.01041 -0.72280  0.000360  0.000158  0.045299     2.274
   1.03322  0.00508 -0.01231 -0.80687  0.000398  0.000173  0.044715     2.300
   1.03578  0.00682 -0.01419 -0.87689  0.000435  0.000189  0.044045     2.309
   1.03853  0.00883 -0.01606 -0.93418  0.000481  0.000206  0.041513     2.332
   1.04150  0.01114 -0.01793 -0.98119  0.000530  0.000226  0.039071     2.347
   1.04473  0.01376 -0.01982 -1.02030  0.000582  0.000246  0.036402     2.363
   1.04827  0.01674 -0.02173 -1.05222  0.000641  0.000269  0.033421     2.382
   1.05217  0.02013 -0.02367 -1.07894  0.000703  0.000293  0.030829     2.396
   1.05651  0.02399 -0.02566 -1.10115  0.000771  0.000320  0.028192     2.413
   1.06138  0.02840 -0.02771 -1.11977  0.000845  0.000348  0.025779     2.428
   1.06687  0.03346 -0.02983 -1.13548  0.000925  0.000379  0.023549     2.442
   1.07310  0.03929 -0.03203 -1.14848  0.001014  0.000413  0.021391     2.457
   1.08022  0.04603 -0.03431 -1.15935  0.001109  0.000449  0.019470     2.470
   1.08834  0.05380 -0.03667 -1.16801  0.001215  0.000489  0.017615     2.486
   1.09756  0.06271 -0.03908 -1.17492  0.001328  0.000532  0.015989     2.498
   1.10792  0.07278 -0.04150 -1.18020  0.001450  0.000577  0.014519     2.511
   1.11939  0.08399 -0.04389 -1.18369  0.001582  0.000626  0.013125     2.526
   1.13182  0.09622 -0.04618 -1.18596  0.001715  0.000676  0.011975     2.538
   1.14507  0.10929 -0.04832 -1.18703  0.001854  0.000727  0.010930     2.551
   1.15896  0.12303 -0.05029 -1.18701  0.001997  0.000778  0.009992     2.565
   1.17333  0.13730 -0.05207 -1.18629  0.002138  0.000830  0.009204     2.577
   1.18807  0.15196 -0.05365 -1.18481  0.002282  0.000881  0.008472     2.591
   1.20311  0.16693 -0.05503 -1.18289  0.002425  0.000931  0.007846     2.604
   1.21837  0.18214 -0.05622 -1.18047  0.002570  0.000982  0.007264     2.618
